player_id,season_id,matches,innings,runs,balls,average,strike_rate,fours,sixes,fifties,hundreds,dot_ball_pct,boundary_pct,highest_score
507,14,1,1,16.0,14.0,16.0,114.29,2,1,0,0,64.29,21.43,16.0
507,15,2,2,13.0,13.0,6.5,100.0,1,0,0,0,38.46,7.69,8.0
507,16,4,4,105.0,82.0,26.25,128.05,15,2,0,0,42.68,20.73,36.0
507,17,2,2,5.0,6.0,2.5,83.33,1,0,0,0,66.67,16.67,5.0
477,14,1,1,0.0,1.0,0.0,0.0,0,0,0,0,100.0,0.0,0.0
477,15,8,8,129.0,118.0,16.12,109.32,10,7,1,0,46.61,14.41,66.0
477,16,7,7,91.0,71.0,13.0,128.17,6,4,0,0,32.39,14.08,29.0
477,17,5,5,98.0,77.0,19.6,127.27,10,3,0,0,33.77,16.88,48.0
125,8,6,6,18.0,31.0,3.0,58.06,0,1,0,0,48.39,3.23,10.0
125,10,1,1,15.0,12.0,15.0,125.0,2,0,0,0,25.0,16.67,15.0
125,11,1,1,3.0,4.0,3.0,75.0,0,0,0,0,0.0,0.0,3.0
120,3,2,2,34.0,22.0,17.0,154.55,3,1,0,0,27.27,18.18,30.0
187,5,4,4,87.0,76.0,21.75,114.47,7,2,0,0,32.89,11.84,31.0
565,3,4,4,50.0,36.0,12.5,138.89,5,3,0,0,52.78,22.22,23.0
565,6,5,5,123.0,84.0,24.6,146.43,14,5,1,0,40.48,22.62,59.0
565,7,11,11,126.0,98.0,11.45,128.57,16,3,0,0,40.82,19.39,24.0
565,8,2,2,14.0,17.0,7.0,82.35,1,0,0,0,41.18,5.88,7.0
565,9,2,2,8.0,15.0,4.0,53.33,1,0,0,0,66.67,6.67,8.0
565,10,3,3,18.0,23.0,6.0,78.26,3,0,0,0,60.87,13.04,18.0
592,10,1,1,12.0,12.0,12.0,100.0,1,0,0,0,33.33,8.33,12.0
57,7,7,7,62.0,60.0,8.86,103.33,6,1,0,0,38.33,11.67,42.0
57,8,12,12,206.0,174.0,17.17,118.39,13,8,0,0,30.46,12.07,40.0
57,9,10,10,111.0,77.0,11.1,144.16,4,8,0,0,33.77,15.58,36.0
57,10,13,13,227.0,162.0,17.46,140.12,11,11,0,0,26.54,13.58,44.0
57,11,8,8,80.0,69.0,10.0,115.94,3,4,0,0,23.19,10.14,19.0
57,12,12,12,110.0,88.0,9.17,125.0,10,3,0,0,31.82,14.77,26.0
57,13,9,9,117.0,85.0,13.0,137.65,6,8,0,0,32.94,16.47,42.0
57,14,6,6,40.0,46.0,6.67,86.96,2,1,0,0,39.13,6.52,12.0
57,15,10,10,182.0,120.0,18.2,151.67,12,10,0,0,29.17,18.33,42.0
57,16,13,13,283.0,203.0,21.77,139.41,21,15,1,0,33.0,17.73,54.0
57,17,12,12,235.0,179.0,19.58,131.28,19,10,2,0,32.4,16.2,66.0
57,18,11,11,263.0,167.0,23.91,157.49,23,15,0,0,32.34,22.75,43.0
361,16,1,1,13.0,9.0,13.0,144.44,0,1,0,0,22.22,11.11,13.0
456,16,3,3,18.0,15.0,6.0,120.0,0,1,0,0,26.67,6.67,15.0
456,17,3,3,78.0,50.0,26.0,156.0,5,5,1,0,32.0,20.0,58.0
456,18,4,4,23.0,19.0,5.75,121.05,0,3,0,0,57.89,15.79,20.0
328,17,1,1,5.0,4.0,5.0,125.0,1,0,0,0,50.0,25.0,5.0
123,13,1,1,0.0,3.0,0.0,0.0,0,0,0,0,100.0,0.0,0.0
123,14,2,2,2.0,3.0,1.0,66.67,0,0,0,0,0.0,0.0,1.0
123,15,6,6,21.0,29.0,3.5,72.41,3,0,0,0,68.97,10.34,10.0
123,16,1,1,2.0,2.0,2.0,100.0,0,0,0,0,50.0,0.0,2.0
123,17,1,1,4.0,3.0,4.0,133.33,1,0,0,0,66.67,33.33,4.0
123,18,2,2,2.0,6.0,1.0,33.33,0,0,0,0,66.67,0.0,1.0
672,12,1,1,15.0,13.0,15.0,115.38,2,0,0,0,46.15,15.38,15.0
672,15,3,3,5.0,7.0,1.67,71.43,0,0,0,0,28.57,0.0,4.0
672,16,1,1,7.0,12.0,7.0,58.33,1,0,0,0,58.33,8.33,7.0
410,6,1,1,2.0,6.0,2.0,33.33,0,0,0,0,83.33,0.0,2.0
410,10,1,1,4.0,7.0,4.0,57.14,1,0,0,0,85.71,14.29,4.0
410,11,3,3,11.0,18.0,3.67,61.11,1,0,0,0,50.0,5.56,8.0
410,13,2,2,9.0,10.0,4.5,90.0,0,1,0,0,60.0,10.0,7.0
606,2,7,7,78.0,61.0,11.14,127.87,5,3,0,0,34.43,13.11,36.0
606,3,5,5,56.0,48.0,11.2,116.67,3,3,0,0,39.58,12.5,32.0
606,4,4,4,60.0,58.0,15.0,103.45,5,1,0,0,37.93,10.34,25.0
426,15,1,1,0.0,2.0,0.0,0.0,0,0,0,0,100.0,0.0,0.0
426,16,4,4,23.0,19.0,5.75,121.05,3,0,0,0,36.84,15.79,13.0
426,17,1,1,3.0,3.0,3.0,100.0,0,0,0,0,0.0,0.0,3.0
426,18,1,1,0.0,1.0,0.0,0.0,0,0,0,0,100.0,0.0,0.0
22,1,6,6,49.0,39.0,8.17,125.64,5,2,0,0,38.46,17.95,16.0
256,17,9,9,189.0,113.0,21.0,167.26,10,15,1,0,27.43,22.12,61.0
256,18,9,9,204.0,127.0,22.67,160.63,14,13,1,0,27.56,21.26,66.0
299,13,3,3,32.0,29.0,10.67,110.34,0,1,0,0,20.69,3.45,14.0
698,3,14,14,356.0,246.0,25.43,144.72,34,13,2,0,28.05,19.11,55.0
