player_id,season_id,opposition_team_id,matches,innings,balls_bowled,overs,runs_conceded,wickets,economy,bowling_avg,bowling_strike_rate,dot_balls,dot_balls_pct,fours_conceded,sixes_conceded
463,1,2,1,1,24,4.0,33.0,1,8.25,33.0,24.0,4,16.67,5,0
463,1,5,1,1,24,4.0,9.0,1,2.25,9.0,24.0,17,70.83,1,0
463,1,6,1,1,25,4.0,35.0,1,8.75,35.0,24.0,11,44.0,5,1
463,1,11,1,1,26,4.0,35.0,1,8.75,35.0,24.0,12,46.15,5,1
477,1,2,2,2,36,6.0,57.0,1,9.5,57.0,36.0,8,22.22,8,1
477,1,5,2,2,39,6.0,50.0,1,8.33,50.0,36.0,17,43.59,4,2
477,1,6,2,2,49,8.0,55.0,2,6.88,27.5,24.0,23,46.94,4,3
477,1,9,2,2,43,7.0,74.0,1,10.57,74.0,42.0,16,37.21,6,6
477,1,11,2,2,44,7.0,70.0,1,10.0,70.0,42.0,15,34.09,10,1
477,1,13,2,2,40,6.0,37.0,2,6.17,18.5,20.0,19,47.5,2,2
477,1,16,1,1,24,4.0,23.0,3,5.75,7.67,8.0,11,45.83,2,1
484,1,2,1,1,6,1.0,6.0,3,6.0,2.0,1.67,4,66.67,0,0
484,1,5,1,1,6,1.0,11.0,0,11.0,0.0,inf,1,16.67,2,0
484,1,6,1,1,12,2.0,18.0,0,9.0,0.0,inf,2,16.67,2,0
484,1,11,2,2,13,2.0,23.0,1,11.5,23.0,12.0,2,15.38,1,1
484,1,13,1,1,13,2.0,23.0,0,11.5,0.0,inf,1,7.69,2,1
484,1,16,1,1,13,2.0,16.0,1,8.0,16.0,12.0,5,38.46,2,0
484,1,17,2,2,15,2.0,27.0,1,13.5,27.0,13.0,3,20.0,1,2
497,1,5,1,1,26,4.0,53.0,0,13.25,0.0,inf,7,26.92,6,3
497,1,9,1,1,24,4.0,32.0,3,8.0,10.67,8.0,9,37.5,3,1
497,1,13,1,1,24,4.0,37.0,0,9.25,0.0,inf,6,25.0,6,0
497,1,17,1,1,26,4.0,27.0,0,6.75,0.0,inf,10,38.46,2,1
503,1,2,1,1,24,4.0,24.0,1,6.0,24.0,24.0,11,45.83,1,1
503,1,5,1,1,17,2.0,24.0,0,12.0,0.0,inf,4,23.53,2,1
503,1,6,2,2,39,6.0,49.0,2,8.17,24.5,19.0,18,46.15,7,1
